PSTATABB,PNAME,LAT,LON,PLGENACL,PLGENAOL,PLGENAGS,PLGENANC,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOT
AR,Blakely Mountain,34.570984,-93.194425,0,0,0,0,"182,961",0,0,0,0,0
AR,Bull Shoals,36.3635,-92.5763,0,0,0,0,"622,630",0,0,0,0,0
AR,Carl Bailey,35.260102,-91.363426,0,0,"14,199",0,0,0,0,0,0,0
AR,Carpenter,34.4425,-93.0262,0,0,0,0,"124,077",0,0,0,0,0
AR,Cecil Lynch,34.7535,-92.1987,,,,,,,,,,
AR,City Water & Light - City of Jonesboro,35.848561,-90.725377,0,7,"49,973",0,0,0,0,0,0,0
AR,Clearwater Paper APP CB,33.7061,-91.2371,0,0,"32,668",0,0,"81,877",0,0,0,0
AR,Columbia Flooring Melbourne,36.060514,-91.919802,0,0,0,0,0,"5,631",0,0,0,0
AR,Dam 2,33.986501,-91.315788,0,0,0,0,"289,523",0,0,0,0,0
AR,Dardanelle,35.2503,-93.1686,0,0,0,0,"629,375",0,0,0,0,0
AR,Degray,34.211913,-93.110963,0,0,0,0,"77,354",0,0,0,0,0
AR,Dell Power Plant,35.8619,-90.0253,0,0,"2,028,650",0,0,0,0,0,0,0
AR,Elkins Generating Center,35.9714,-94.0014,0,0,"5,359",0,0,0,0,0,0,0
AR,Ellis Hydro,35.351361,-94.294349,0,0,0,0,"117,406",0,0,0,0,0
AR,FECC Solar Benton,34.638429,-92.578347,0,0,0,0,0,0,0,"1,540",0,0
AR,Flint Creek Power Plant,36.2561,-94.5241,"2,663,090","6,658",0,0,0,0,0,0,0,0
AR,Fourche Creek Wastewater,34.6968,-92.165,0,0,114,0,0,"5,576",0,0,0,0
AR,Fulton,33.6094,-93.7924,0,0,"103,733",0,0,0,0,0,0,0
AR,Genova Arkansas I LLC,36.186111,-94.284166,,,,,,,,,,
AR,Georgia-Pacific Crossett LLC,33.1421,-91.975,0,"3,073","163,203",0,0,"306,405",0,0,0,0
AR,Greers Ferry Lake,35.5207,-91.9953,0,0,0,0,"200,955",0,0,0,0,0
AR,Hamilton Moses,34.9806,-90.8722,,,,,,,,,,
AR,Harry D. Mattison Power Plant,36.1855,-94.2841,0,0,"48,955",0,0,0,0,0,0,0
AR,Harvey Couch,33.3592,-93.4649,,,,,,,,,,
AR,Hot Spring Energy Facility,34.29759,-92.868344,0,0,"3,433,630",0,0,0,0,0,0,0
AR,Independence,35.678442,-91.408761,"9,676,312","6,862",0,0,0,0,0,0,0,0
AR,John W. Turk Jr. Power Plant,33.649722,-93.811944,"4,175,510",0,"12,470",0,0,0,0,0,0,0
AR,Lake Catherine,34.4341,-92.9049,0,0,"289,084",0,0,0,0,0,0,0
AR,Lee Creek Water Treatment Facility,35.484488,-94.392858,0,0,0,0,0,0,0,0,0,0
AR,Mabelvale,34.635997,-92.409602,,,,,,,,,,
AR,Magnet Cove Generating Station,34.4297,-92.8317,0,0,"1,834,885",0,0,0,0,0,0,0
AR,McClellan,33.5648,-92.7917,0,0,"61,046",0,0,0,0,0,0,0
AR,Municipal Light,36.3858,-90.1867,0,0,0,0,0,0,0,0,0,0
AR,Murray,34.7956,-92.3569,0,0,0,0,"39,862",0,0,0,0,0
AR,Narrows (AR),34.148427,-93.715168,0,0,0,0,"20,641",0,0,0,0,0
AR,Noland Wastewater Treatment Plant,36.082301,-94.067149,,,,,,,,,,
AR,Norfork,36.2491,-92.2401,0,0,0,0,"159,631",0,0,0,0,0
AR,Osceola (AR),35.6893,-89.994,0,0,0,0,0,0,0,0,0,0
AR,Oswald Generating Station,34.5923,-92.2166,0,0,"522,540",0,0,0,0,0,0,0
AR,Ozark,35.4693,-93.8175,0,0,0,0,"214,488",0,0,0,0,0
AR,Ozarks Natural Energy Community Solar,36.164296,-94.082269,0,0,0,0,0,0,0,"1,519",0,0
AR,Paragould,36.060556,-90.521389,,,,,,,,,,
AR,Paragould Reciprocating,36.0242,-90.5094,0,0,512,0,0,0,0,0,0,0
AR,Paragould Turbine,36.024272,-90.509229,0,0,47,0,0,0,0,0,0,0
AR,Pine Bluff Energy Center,34.2181,-91.9025,0,0,"1,305,210",0,0,0,0,0,0,0
AR,Pine Bluff Mill,34.221213,-91.907365,0,0,"30,422",0,0,"363,194",0,0,0,0
AR,Plum Point Energy Station,35.6644,-89.9489,"5,196,709","5,925",0,0,0,0,0,0,0,0
AR,Remmel,34.4272,-92.8941,0,0,0,0,"38,312",0,0,0,0,0
AR,Riceland Foods Cogeneration Plant,34.5136,-91.5331,0,0,0,0,0,"20,299",0,0,0,0
AR,Robert E Ritchie,34.4629,-90.5987,,,,,,,,,,
AR,Scenic Hill Solar III,35.46715,-93.51517,0,0,0,0,0,0,0,"10,497",0,0
AR,Searcy Solar,35.233,-91.69,,,,,,,,,,
AR,SR Camden,33.631538,-92.703611,0,0,0,0,0,0,0,"26,923",0,0
AR,Stuttgart Solar,34.439722,-91.44,0,0,0,0,0,0,0,"162,934",0,0
AR,Thomas Fitzhugh,35.462382,-93.804926,0,0,"272,862",0,0,0,0,0,0,0
AR,Two Pine Landfill Gas Recovery,34.8332,-92.157103,0,0,0,0,0,"15,892",0,0,0,0
AR,UA Central Utility Plant,36.066336,-94.172254,0,0,"37,894",0,0,0,0,0,0,0
AR,Union Power Station,33.296146,-92.589364,0,0,"10,305,177",0,0,0,0,0,0,0
AR,Waste Management Eco Vista LFGTE,36.140849,-94.259713,0,0,0,0,0,"33,183",0,0,0,0
